,l1_pref,l2_pref,l3_pref,replacement,avg
0,next_line,ip_stride,next_line,drrip,0.77222
1,next_line,ip_stride,next_line,lru,0.7666
2,next_line,ip_stride,next_line,ship,0.76589
3,next_line,ip_stride,next_line,srrip,0.76488
6,next_line,ip_stride,no,ship,0.75382
4,next_line,ip_stride,no,drrip,0.74997
26,no,ip_stride,next_line,ship,0.74127
24,no,ip_stride,next_line,drrip,0.74102
25,no,ip_stride,next_line,lru,0.73976
7,next_line,ip_stride,no,srrip,0.73917
27,no,ip_stride,next_line,srrip,0.73832
8,next_line,next_line,next_line,drrip,0.732
11,next_line,next_line,next_line,srrip,0.72865
10,next_line,next_line,next_line,ship,0.72824
5,next_line,ip_stride,no,lru,0.72808
9,next_line,next_line,next_line,lru,0.7264
30,no,ip_stride,no,ship,0.70587
28,no,ip_stride,no,drrip,0.69925
14,next_line,next_line,no,ship,0.69566
12,next_line,next_line,no,drrip,0.69083
31,no,ip_stride,no,srrip,0.68705
16,next_line,no,next_line,drrip,0.682
29,no,ip_stride,no,lru,0.67938
15,next_line,next_line,no,srrip,0.67818
19,next_line,no,next_line,srrip,0.67736
18,next_line,no,next_line,ship,0.67582
32,no,next_line,next_line,drrip,0.67272
17,next_line,no,next_line,lru,0.6703
35,no,next_line,next_line,srrip,0.66863
34,no,next_line,next_line,ship,0.66819
13,next_line,next_line,no,lru,0.66516
33,no,next_line,next_line,lru,0.66228
22,next_line,no,no,ship,0.65394
20,next_line,no,no,drrip,0.65331
36,no,next_line,no,drrip,0.64491
38,no,next_line,no,ship,0.64261
23,next_line,no,no,srrip,0.63546
39,no,next_line,no,srrip,0.6263
21,next_line,no,no,lru,0.62122
37,no,next_line,no,lru,0.6135
43,no,no,next_line,srrip,0.59195
41,no,no,next_line,lru,0.59152
40,no,no,next_line,drrip,0.59015
42,no,no,next_line,ship,0.5901
44,no,no,no,drrip,0.4621
46,no,no,no,ship,0.45707
47,no,no,no,srrip,0.43629
45,no,no,no,lru,0.42809
