,436,437,450,462,482,459,avg
next_line-ip_stride-next_line-drrip,0.39357,0.98802,0.37274,0.70679,1.25477,0.91745,0.7722233333333333
next_line-ip_stride-next_line-lru,0.39361,0.98675,0.37568,0.72553,1.19622,0.92179,0.7665966666666666
next_line-ip_stride-next_line-ship,0.39358,0.98839,0.38446,0.68971,1.22407,0.91511,0.7658866666666667
next_line-ip_stride-next_line-srrip,0.39375,0.98888,0.38263,0.67658,1.23575,0.91169,0.7648799999999999
next_line-ip_stride-no-ship,0.39363,0.9532,0.38524,0.67352,1.26065,0.8567,0.7538233333333334
next_line-ip_stride-no-drrip,0.39379,0.95948,0.38872,0.64779,1.25869,0.85137,0.7499733333333333
no-ip_stride-next_line-ship,0.38999,0.96955,0.36566,0.72366,1.12422,0.87452,0.7412666666666666
no-ip_stride-next_line-drrip,0.38998,0.9618,0.35511,0.72605,1.13775,0.8754,0.741015
no-ip_stride-next_line-lru,0.39003,0.95811,0.35777,0.75466,1.09569,0.88233,0.7397649999999999
next_line-ip_stride-no-srrip,0.39364,0.96246,0.37558,0.65845,1.19479,0.8501,0.7391700000000001
no-ip_stride-next_line-srrip,0.39015,0.9655,0.36481,0.71034,1.12937,0.86974,0.7383183333333334
next_line-next_line-next_line-drrip,0.39358,0.95956,0.34374,0.64831,1.19333,0.85348,0.7320000000000001
next_line-next_line-next_line-srrip,0.39375,0.95938,0.35294,0.63579,1.17974,0.85027,0.7286450000000001
next_line-next_line-next_line-ship,0.39359,0.96028,0.35323,0.644,1.16432,0.854,0.7282366666666666
next_line-ip_stride-no-lru,0.39349,0.95872,0.35937,0.66871,1.12761,0.86058,0.72808
next_line-next_line-next_line-lru,0.39362,0.9574,0.34522,0.66153,1.13869,0.86193,0.7263983333333334
no-ip_stride-no-ship,0.38759,0.92169,0.3573,0.70394,1.12464,0.74007,0.7058716666666668
no-ip_stride-no-drrip,0.38759,0.93471,0.36017,0.67175,1.10502,0.73625,0.6992483333333332
next_line-next_line-no-ship,0.39397,0.9,0.36053,0.57875,1.17521,0.7655,0.6956600000000001
next_line-next_line-no-drrip,0.39387,0.90508,0.35384,0.54987,1.18564,0.7567,0.6908333333333334
no-ip_stride-no-srrip,0.38666,0.93828,0.34407,0.69243,1.02737,0.7335,0.6870516666666666
next_line-no-next_line-drrip,0.39361,0.90614,0.33097,0.57477,1.09874,0.78776,0.6819983333333335
no-ip_stride-no-lru,0.38632,0.93229,0.33086,0.69895,0.98026,0.74763,0.6793849999999999
next_line-next_line-no-srrip,0.3937,0.90692,0.34796,0.5672,1.09044,0.76286,0.6781800000000001
next_line-no-next_line-srrip,0.39379,0.90751,0.33991,0.56391,1.07889,0.78012,0.6773549999999999
next_line-no-next_line-ship,0.39365,0.90697,0.34158,0.57111,1.05768,0.78391,0.6758166666666666
no-next_line-next_line-drrip,0.39043,0.88509,0.32756,0.57749,1.07541,0.78035,0.6727216666666668
next_line-no-next_line-lru,0.39369,0.90445,0.33211,0.58239,1.02,0.78915,0.6702983333333333
no-next_line-next_line-srrip,0.3906,0.88636,0.33611,0.56632,1.05485,0.77754,0.66863
no-next_line-next_line-ship,0.39046,0.88712,0.33675,0.57427,1.03852,0.78203,0.6681916666666666
next_line-next_line-no-lru,0.39356,0.90494,0.33167,0.57188,1.01462,0.77429,0.6651600000000001
no-next_line-next_line-lru,0.39049,0.88212,0.32882,0.58452,1.00163,0.78608,0.6622766666666667
next_line-no-no-ship,0.39397,0.8555,0.34452,0.55499,1.07065,0.70404,0.653945
next_line-no-no-drrip,0.39374,0.86071,0.34396,0.53247,1.08691,0.70207,0.65331
no-next_line-no-drrip,0.39066,0.84027,0.33977,0.52838,1.07382,0.69654,0.6449066666666666
no-next_line-no-ship,0.39074,0.83597,0.34002,0.54755,1.0391,0.70226,0.6426066666666667
next_line-no-no-srrip,0.39354,0.86369,0.33008,0.54333,0.97908,0.70304,0.6354599999999999
no-next_line-no-srrip,0.39036,0.84351,0.32712,0.53716,0.96036,0.69932,0.626305
next_line-no-no-lru,0.39335,0.85982,0.31361,0.54842,0.90044,0.71169,0.6212216666666667
no-next_line-no-lru,0.3902,0.83974,0.31115,0.54116,0.89094,0.70783,0.6135033333333334
no-no-next_line-srrip,0.38371,0.79397,0.30938,0.50901,0.87178,0.68384,0.5919483333333333
no-no-next_line-lru,0.38357,0.7896,0.30303,0.52377,0.85649,0.69269,0.591525
no-no-next_line-drrip,0.38347,0.79193,0.301,0.51772,0.85758,0.68922,0.5901533333333334
no-no-next_line-ship,0.38355,0.79592,0.30794,0.51444,0.85433,0.68441,0.5900983333333333
no-no-no-drrip,0.35534,0.5127,0.28949,0.49118,0.74216,0.3817,0.462095
no-no-no-ship,0.35765,0.51434,0.28744,0.5084,0.69114,0.38345,0.4570699999999999
no-no-no-srrip,0.34525,0.51392,0.27388,0.49873,0.60392,0.38204,0.43629
no-no-no-lru,0.341,0.5133,0.25666,0.5015,0.57324,0.38283,0.42808833333333335
